society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score
Pareena Laxmi Apartments,0.32,6106,2,2,2,2.0,,flat,sector 99a,524.0,,424.0,1,0,0,0,0,New Property,45,1,39
Raheja Revanta,1.2,10018,1,2,2,32.0,,flat,sector 78,1197.0,,505.0,1,0,0,0,0,Under Construction,42,1,33
Signature The Roselia,0.45,7,2,2,2,2.0,South-West,flat,sector 95a,,,569243.0,1,0,0,0,0,New Property,64,1,21
Not Applicable,0.42,5600,2,2,1,3.0,,flat,sector 3a,,,750.0,1,0,0,0,0,relatively new,18,2,34
Godrej Nature Plus,1.55,9955,3,2,3+,8.0,East,flat,sector-33 sohna,,,1557.0,1,0,0,0,0,New Property,24,1,41
Smartworld 1DXP,2.75,10589,4,4,3+,20.0,East,flat,sector 113,,,2597.0,0,1,1,1,0,,36,0,53
Ansal Housing Highland Park,1.25,6443,3,3,3+,2.0,North-East,flat,sector 103,1940.0,,1056.0,0,0,0,1,0,New Property,93,1,22
Trisara Our Homes 3,0.34,5405,2,2,1,0.0,,flat,sohna,,,629.0,1,0,0,0,0,New Property,0,1,45
Emaar MGF Palm Hills,1.5,12744,3,3,3,4.0,North-East,flat,sector 77,1450.0,,1177.0,1,0,0,0,0,relatively new,86,2,42
Pareena Coban Residences,1.6,8000,3,3,3,6.0,,flat,sector 99a,2000.0,,,1,0,0,0,0,relatively new,0,1,55
La Vida by Tata Housing,1.5,11755,2,2,2,13.0,,flat,sector 113,,,1276.0,1,0,0,0,0,New Property,0,1,41
La Vida by Tata Housing,1.5,11755,2,2,2,13.0,,flat,sector 113,1276.0,,,1,0,0,0,0,New Property,56,1,41
Ardee City,1.5,9146,4,4,3,3.0,,flat,sector 52,1640.0,,,1,0,0,0,0,,59,1,32
M3M One Key Resiments,0.8,13115,1,1,0,0.0,,flat,sector 67,,610.0,,1,0,0,0,0,,0,1,34
Ansal Heights 86,1.25,7396,3,2,1,11.0,,flat,sector 86,1690.0,,,1,0,0,0,0,New Property,54,1,27
MVN Athens,0.26,5397,2,2,1,2.0,,flat,sohna,,,481.0,1,0,0,0,0,relatively new,21,1,6
Signature The Serenas,0.42,7909,2,2,1,12.0,,flat,sohna,,,531.0,1,0,0,0,0,New Property,50,1,34
Sushant Lok 1 Builder Floors,2.5,12920,3,3,2,2.0,,flat,sector 43,1935.0,,,1,0,0,0,0,New Property,0,1,42
Umang Monsoon Breeze,0.9,4615,3,3,2,1.0,,flat,sector 78,1950.0,,1854.0,0,0,1,1,0,old property,60,1,16
GLS Avenue 51,0.42,7106,2,2,1,4.0,East,flat,sector 92,,,591.0,0,1,0,1,0,relatively new,25,1,9
Signature Global Solera,0.5,7692,2,2,1,11.0,,flat,sector 107,546.0,,,1,0,0,0,0,relatively new,0,1,33
Supertech Araville,0.9,5883,2,2,3,5.0,,flat,sector 79,1530.0,,1400.0,0,1,0,0,0,relatively new,50,1,5
Greenopolis,1.3,6806,3,3,3+,1.0,South-West,flat,sector 89,,,1910.0,0,0,1,0,0,New Property,20,1,12
Central Park Flower Valley Aqua Front Towers,1.7,9502,3,3,3,12.0,,flat,sector-33 sohna,1789.0,,,1,0,0,0,0,Under Construction,36,1,28
Sare Homes,1.25,6200,4,3,0,16.0,,flat,sector 92,,2040.0,,1,0,0,0,0,,28,1,5
micasa sec 68,1.5,12244,2,2,3,11.0,,flat,sohna road,,,1225.0,1,0,0,0,0,New Property,27,1,46
Eldeco Accolade,1.3,7424,3,3,3+,10.0,East,flat,sohna,1751.0,,1290.0,1,0,0,0,0,relatively new,28,1,18
Hero Homes,1.75,10361,3,3,3,2.0,,flat,sector 104,1689.0,,,1,0,0,0,0,,39,1,42
Shyam Sadan,0.55,6470,2,2,1,4.0,West,flat,sector 5,,,700.0,0,1,0,0,0,relatively new,44,2,34
M3M Heights,2.5,13600,3,3,3,19.0,,flat,sector 65,1828.0,,,1,0,0,0,0,,0,1,52
hanumanta apartment,0.43,5308,2,2,1,1.0,,flat,sector 33,810.0,,,1,0,0,0,0,old property,4,1,14
Raheja Vedaanta,0.7,4666,2,2,1,10.0,West,flat,sector 108,,1468.0,1150.0,1,0,0,0,0,old property,0,1,0
BPTP Terra,1.95,14444,4,3,3,7.0,,flat,sector 37d,2191.0,,1350.0,1,0,0,0,0,,0,1,42
Green Court,0.45,7188,2,2,1,2.0,,flat,sector 90,,,626.0,1,0,0,0,0,New Property,24,2,38
M3M Golf Hills Phase 1,1.7,10828,3,2,3,10.0,,flat,sector 79,,1570.0,1099.0,1,0,0,0,0,,0,1,5
Abhinav Group Housing Society,1.1,6111,3,2,3,5.0,,flat,sector 9,,,1800.0,1,0,0,0,0,,27,1,36
Pyramid Urban Homes 2,0.5,9615,2,2,1,10.0,,flat,sector 86,,,520.0,1,0,0,0,0,relatively new,15,1,25
M3M Heights,2.8,15000,3,3,3,20.0,North-East,flat,sector 65,1828.0,,,1,0,0,0,0,,87,1,52
Smart World Orchard,2.2,13496,3,3,2,3.0,,flat,sector 61,,,1630.0,1,0,0,0,0,,31,1,59
Ashiana Anmol,0.9,9463,2,2,2,13.0,South,flat,sohna,1275.0,,951.0,1,0,0,0,0,relatively new,99,0,40
Signature Signum 95A,0.4,7782,2,2,2,3.0,East,flat,sector 95a,,,514.0,1,0,0,0,0,New Property,27,1,0
Umang Winter Hills,1.35,7780,3,3,3+,7.0,,flat,sector 77,1735.0,,1199.0,0,0,0,0,0,New Property,73,2,49
ROF Ananda,0.25,6578,1,1,1,4.0,,flat,sector 95,380.0,,,1,0,0,0,0,New Property,0,1,24
Smart World Gems,0.88,7963,2,2,3,2.0,,flat,sector 89,,,1105.0,0,1,0,0,0,New Property,27,1,52
Assotech Blith,1.15,6593,2,2,2,2.0,,flat,sector 99,1365.0,,,0,0,0,0,1,New Property,62,2,43
Palam Vihar Society,3.35,7444,4,4,3+,2.0,,flat,sector 2,,,4500.0,0,1,0,0,0,New Property,52,1,61
DLF New Town Heights,1.65,6345,4,4,3+,11.0,West,flat,sector 91,2364.0,,,0,0,1,0,0,old property,71,1,50
Krrish Florence Estate,1.25,6703,3,3,3,18.0,North-East,flat,sector 70,1865.0,,,1,0,0,0,0,Under Construction,47,1,34
Piedmont Taksila heights,1.0,6506,3,3,3+,8.0,,flat,sector 37c,,,1537.0,1,0,0,0,0,relatively new,28,2,21
SS The Leaf,2.15,8928,3,5,3,2.0,,flat,sector 85,2408.0,,,1,0,0,0,0,New Property,0,1,42
M3M Urbana,1.0,12106,1,1,1,17.0,South,flat,sector 67,,826.0,,1,0,0,0,0,relatively new,28,1,26
AIPL Zen Residences,1.65,13074,2,2,3,23.0,North-West,flat,sector 70a,1262.0,,,1,0,0,0,0,New Property,74,1,42
DLF Regal Gardens,1.79,8081,4,3,3+,10.0,North-East,flat,sector 90,,,2215.0,1,0,0,0,0,old property,58,1,24
Suncity Vatsal Valley,1.45,10139,3,3,3,4.0,,flat,sector 2,,1430.0,760.0,1,0,0,0,0,Under Construction,28,1,51
Shree shyam residency,0.22,4731,1,1,1,2.0,East,flat,sector 21,585.0,,465.0,1,0,0,0,0,relatively new,0,1,34
Project Krishna Colony,0.36,5142,2,2,1,0.0,,flat,sector 7,,700.0,,1,0,0,0,0,relatively new,0,1,24
MVN Athens,0.25,4258,2,2,1,0.0,,flat,sohna,,587.0,,1,0,0,0,0,relatively new,41,1,6
M3M Antalya Hills,1.15,7496,3,3,3+,1.0,,flat,sector 79,1534.0,,1103.0,0,1,0,0,0,New Property,0,1,49
M3M Capital,2.9,12619,4,4,3+,11.0,North,flat,sector 113,,,2298.0,0,1,1,0,0,New Property,28,1,51
Ansal Heights,0.6,4546,2,2,3,11.0,,flat,sector 92,1320.0,,,0,0,0,0,1,Under Construction,36,1,0
Malibu Towne,2.4,10000,3,3,0,0.0,West,flat,sector 47,,,2400.0,1,0,0,0,0,old property,18,2,38
AIPL Zen Residences,1.25,9904,2,2,3,19.0,,flat,sector 70a,,,1262.0,1,0,0,0,0,,0,1,26
M3M Heights,2.15,15003,2,2,3+,28.0,East,flat,sector 65,,1433.0,,1,0,0,0,0,,0,1,52
HCBS Sports Ville,0.3,3970,2,2,1,4.0,,flat,sohna,,743.0,519.0,1,0,0,0,0,,0,1,0
HCBS Sports Ville,0.38,5067,2,2,2,9.0,East,flat,sohna,,750.0,650.0,1,0,0,0,0,,0,1,0
JMD Empire,1.5,12500,2,2,3,7.0,East,flat,sector 62,,1200.0,1100.0,1,0,0,0,0,,0,1,44
Assotech Blith,1.6,6667,3,4,0,15.0,,flat,sector 99,,2400.0,,1,0,0,0,0,,0,1,43
Pareena Mi Casa,1.7,8504,4,4,3,2.0,,flat,sector 68,1999.0,,,1,0,0,0,0,New Property,0,1,52
Suncity Heights,3.25,14118,3,3,3+,0.0,East,flat,sector 54,,,2302.0,0,0,0,1,0,,102,2,50
Lotus Homz,0.6,8450,2,2,3,9.0,East,flat,sector 111,,,710.0,1,0,0,0,0,New Property,44,1,42
Maruti Vihar Colony,0.95,8886,2,1,1,1.0,,flat,sector 28,,,1069.0,1,0,0,0,0,,47,1,45
Supertech Basera,0.36,7643,2,2,1,4.0,,flat,sector 79,,546.0,471.0,1,0,0,0,0,New Property,53,1,5
Signature Global the Millennia,0.55,9166,2,2,3,3.0,,flat,sector 37d,600.0,,,1,0,0,0,0,New Property,0,1,25
"Ganpati apartment  2, Laxman Vihar Phase 1",0.45,4705,2,2,1,0.0,East,flat,sector 3a,,,850.0,1,0,0,0,0,relatively new,33,1,34
M3M Golfestate,1.4,10000,2,2,2,4.0,East,flat,sector 79,,,1400.0,0,1,1,0,0,undefined,72,0,5
Eldeco Accolade,0.95,6542,2,2,3+,6.0,East,flat,sohna,1452.0,,849.0,0,1,0,0,0,New Property,0,1,18
M3M Heights,3.0,18000,3,3,3,20.0,South-East,flat,sector 65,1828.0,,,1,0,0,0,0,,59,1,52
M3M Heights,3.67,17990,3,3,2,27.0,,flat,sector 65,2040.0,,,0,0,1,0,0,relatively new,24,1,52
M3M Heights,3.29,17997,3,3,3,33.0,East,flat,sector 65,1828.0,,,1,0,0,0,0,New Property,28,1,52
M3M Heights,2.33,18477,2,2,3,35.0,North-East,flat,sector 65,1261.0,,,1,0,0,0,0,Under Construction,28,2,52
South City 1 Floors,3.4,11724,4,4,3,0.0,,flat,sector 41,,2900.0,,1,0,0,0,0,,0,1,47
Zara Aavaas,0.4,7036,2,2,1,4.0,North,flat,sector 104,568.0,,,1,0,0,0,0,relatively new,33,1,42
Ramprastha The Edge Towers,0.71,5420,2,2,3,10.0,South-East,flat,sector 37d,1310.0,,1000.0,0,0,0,0,1,New Property,45,1,40
Supertech Araville,0.78,6024,2,2,3+,0.0,,flat,sector 79,1295.0,,,0,0,0,0,1,New Property,62,1,5
La Vida by Tata Housing,1.85,11716,3,2,2,7.0,East,flat,sector 113,1579.0,,,1,0,0,0,0,New Property,10,1,41
Shapoorji Pallonji Joyville Gurugram,1.1,12181,2,2,1,8.0,,flat,sector 102,903.0,,,1,0,0,0,0,,97,1,34
Smart World Orchard,1.41,12250,2,2,2,2.0,,flat,sector 61,,1150.0,,0,1,0,0,0,relatively new,69,1,51
Supertech Araville,1.45,7455,3,3,3,3.0,North,flat,sector 79,,,1945.0,1,0,0,0,0,relatively new,0,1,5
Smart World Orchard,2.2,13500,3,3,2,1.0,North-East,flat,sector 61,,,1600.0,1,0,0,0,0,,28,1,51
Unitech The Residences,1.1,9909,2,2,3,9.0,East,flat,sector 33,1110.0,,1000.0,1,0,0,0,0,old property,27,2,34
Emaar Imperial Gardens,2.05,9876,3,4,3+,14.0,South,flat,sector 102,,,2025.0,0,0,1,0,0,relatively new,91,1,41
Sare Homes,0.6,5000,3,2,3,4.0,,flat,sector 92,,,1200.0,1,0,0,0,0,old property,28,2,5
Pivotal Devaan,0.41,7032,2,2,2,10.0,East,flat,sector 84,583.0,,483.0,1,0,0,0,0,New Property,16,2,36
"M M Residency, Krishna Colony, Gurgaon",0.54,5888,2,2,1,3.0,East,flat,sector 7,,,900.0,1,0,0,0,0,relatively new,40,1,27
Park Royal Apartment,1.85,9024,3,4,3,7.0,,flat,sector 56,,,2050.0,0,0,1,0,0,,44,1,50
Signature Global the Millennia,0.55,9166,2,2,3,3.0,,flat,sector 37d,850.0,,600.0,1,0,0,0,0,New Property,62,1,25
M3M Heights,2.29,15980,2,2,3,8.0,,flat,sector 65,,,1433.0,0,1,0,0,0,Under Construction,11,1,52
Shapoorji Pallonji Joyville Gurugram,0.97,10601,2,2,2,12.0,,flat,sector 102,915.0,,600.0,1,0,0,0,0,New Property,36,1,34
Tulip Monsella,8.25,28000,3,4,3,8.0,,flat,sector 53,2940.0,,,0,0,1,0,0,New Property,41,0,37
Shyamkunj ashok vihar pahse 2,0.3,4444,2,2,1,1.0,East,flat,sector 5,,,675.0,1,0,0,0,0,relatively new,15,1,34
Godrej Nature Plus,1.65,14335,2,2,3,1.0,East,flat,sector-33 sohna,,,1151.0,1,0,0,0,0,Under Construction,48,1,41
M3M Heights,1.99,15793,2,2,2,26.0,,flat,sector 65,1260.0,,,1,0,0,0,0,relatively new,0,1,52
M3M The Marina,1.0,12500,2,2,3,21.0,,flat,sector 68,,,800.0,1,0,0,0,0,relatively new,42,1,42
Emaar Digihomes,4.25,26562,3,3,3,8.0,,flat,sector 62,,,1600.0,0,1,0,0,0,,26,1,44
Mapsko Paradise,0.95,6300,3,3,3,1.0,,flat,sector 83,,,1340.0,1,0,0,0,0,old property,0,1,22
Cancon Enclave,1.05,7777,3,2,2,2.0,,flat,sector 4,,,1350.0,1,0,0,0,0,New Property,0,2,34
Tata Primanti,4.1,14100,4,5,3+,39.0,,flat,sector 72,2905.0,,,0,0,1,0,1,New Property,87,1,36
MRG World Ultimus,0.5,6983,2,2,2,1.0,North-East,flat,sector 90,,,716.0,1,0,0,0,0,relatively new,14,1,51
sonata group housing Gh 24,1.65,5892,4,3,3,8.0,,flat,manesar,,,2800.0,0,0,1,0,0,New Property,13,1,14
BPTP Pedestal,1.6,10158,3,3,3,2.0,North-East,flat,sector 70a,,,1575.0,0,0,1,0,1,New Property,58,1,32
HSIIDC Sidco Aravali,0.9,3648,4,4,3,7.0,,flat,manesar,2467.0,,,1,0,0,0,0,old property,0,1,14
Godrej Aria,1.1,7772,2,2,3+,4.0,North-East,flat,sector 79,1351.0,,,1,0,0,0,0,New Property,28,2,49
Assotech Blith,0.92,6739,2,2,3+,22.0,,flat,sector 99,1365.0,,,1,0,0,0,0,relatively new,50,1,43
Sare Crescent Parc,0.7,5556,3,3,2,14.0,,flat,sector 92,,1260.0,,1,0,0,0,0,Under Construction,47,1,5
Unitech Vistas,0.99,6325,3,4,2,11.0,,flat,sector 70,1565.0,,,1,0,0,0,0,,0,1,18
Ansal Housing Highland Park,0.88,6429,2,2,3,3.0,,flat,sector 103,1361.0,,,1,0,0,0,0,New Property,54,1,22
Tulip White,0.91,6862,3,2,2,12.0,,flat,sector 69,,,1326.0,1,0,0,0,0,old property,46,1,35
Mapsko Casa Bella,1.25,6377,3,4,3+,8.0,,flat,sector 82,1960.0,,,1,0,0,0,0,relatively new,0,1,33
ILD Grand,0.66,5038,2,2,3+,14.0,,flat,sector 37c,,1310.0,,1,0,0,0,0,,0,1,34
M3M Capital,1.83,13969,2,2,0,7.0,,flat,sector 113,,1310.0,,1,0,0,0,0,,0,1,51
Unitech Vistas,0.53,4800,2,2,2,9.0,,flat,sector 70,1095.0,,,0,0,0,0,1,relatively new,24,1,18
Ramprastha The Edge Towers,0.8,5797,2,2,3,2.0,North-East,flat,sector 37d,1380.0,,1200.0,1,0,0,0,0,relatively new,54,1,40
Smart World Gems,1.71,12000,3,2,0,3.0,,flat,sector 89,,1423.0,,1,0,0,0,0,,0,1,52
Sapphire Eighty Three,0.65,9286,1,1,0,6.0,,flat,sector 83,,700.0,,1,0,0,0,0,,0,1,14
Sare Crescent Parc,0.82,5384,3,3,3+,12.0,West,flat,sector 92,,1523.0,,1,0,0,0,0,,0,1,0
DLF The Grove,5.7,41245,3,3,3,1.0,East,flat,sector 54,,1382.0,,1,0,0,0,0,,0,1,42
Baani City Center,0.88,10945,1,1,2,4.0,,flat,sector 63,,804.0,600.0,1,0,0,0,0,,0,1,26
Bestech Park View Residency,1.4,7865,3,3,3+,6.0,North,flat,sector 3,1780.0,,,1,0,0,0,0,,92,0,51
CGHS Agrim Apartment,1.49,8514,3,2,3+,1.0,South-East,flat,sector 45,,,1750.0,1,0,0,0,0,,48,2,40
Godrej Nature Plus,1.4,9333,2,2,3,14.0,,flat,sector-33 sohna,1500.0,,1385.0,1,0,0,0,0,Under Construction,61,1,41
DLF Carlton Estate,2.0,14214,3,3,2,5.0,South-West,flat,sector 53,1407.0,,,1,0,0,0,0,old property,64,1,35
Railway Officers RPF Society,1.25,6921,4,3,3,1.0,South-West,flat,sector 9a,,,1806.0,0,0,1,0,0,,24,1,27
Godrej Air,1.05,10603,2,2,1,15.0,East,flat,sector 85,,97.0,990.196,1,0,0,0,0,relatively new,51,1,41
Maruti Vihar,1.0,9090,1,1,1,1.0,North,flat,sector 28,1100.0,,,0,1,0,1,0,,64,2,37
Shapoorji Pallonji Joyville Gurugram,2.12,16960,3,3,3,9.0,,flat,sector 102,,1852.0,1250.0,1,0,0,0,0,relatively new,62,1,34
The Close North,3.0,11516,3,3,3+,14.0,North,flat,sector 50,2605.0,,,0,0,1,0,0,,92,2,42
